[INFO ] [76] [2021-01-28 07:17:07,601] Preparing import process for data catalog: Reifengundlach
[INFO ] [147] [2021-01-28 07:20:06,814] Preparing import process for data catalog: Falken
[INFO ] [114] [2021-01-28 07:25:06,932] Preparing import process for data catalog: Ronal
[INFO ] [21] [2021-01-28 08:17:07,963] Preparing import process for data catalog: Reifengundlach
[INFO ] [32] [2021-01-28 08:20:07,025] Preparing import process for data catalog: Falken
[INFO ] [67] [2021-01-28 08:25:07,117] Preparing import process for data catalog: Ronal
[INFO ] [103] [2021-01-28 09:17:08,072] Preparing import process for data catalog: Reifengundlach
[INFO ] [152] [2021-01-28 09:20:07,220] Preparing import process for data catalog: Falken
[INFO ] [95] [2021-01-28 09:25:07,333] Preparing import process for data catalog: Ronal
[INFO ] [124] [2021-01-28 10:17:08,362] Preparing import process for data catalog: Reifengundlach
[INFO ] [11] [2021-01-28 10:20:07,605] Preparing import process for data catalog: Falken
[INFO ] [149] [2021-01-28 10:25:07,719] Preparing import process for data catalog: Ronal
[INFO ] [69] [2021-01-28 11:17:08,617] Preparing import process for data catalog: Reifengundlach
[INFO ] [126] [2021-01-28 11:20:07,782] Preparing import process for data catalog: Falken
[INFO ] [66] [2021-01-28 11:25:07,965] Preparing import process for data catalog: Ronal
[INFO ] [47] [2021-01-28 12:17:08,894] Preparing import process for data catalog: Reifengundlach
[INFO ] [5] [2021-01-28 12:20:08,117] Preparing import process for data catalog: Falken
[INFO ] [136] [2021-01-28 12:25:08,244] Preparing import process for data catalog: Ronal
[INFO ] [92] [2021-01-28 13:17:09,139] Preparing import process for data catalog: Reifengundlach
[INFO ] [90] [2021-01-28 13:20:08,390] Preparing import process for data catalog: Falken
[INFO ] [67] [2021-01-28 13:25:08,451] Preparing import process for data catalog: Ronal
[INFO ] [66] [2021-01-28 14:17:09,535] Preparing import process for data catalog: Reifengundlach
[INFO ] [79] [2021-01-28 14:20:08,765] Preparing import process for data catalog: Falken
[INFO ] [92] [2021-01-28 14:25:08,786] Preparing import process for data catalog: Ronal
[INFO ] [15] [2021-01-28 15:17:09,710] Preparing import process for data catalog: Reifengundlach
[INFO ] [76] [2021-01-28 15:20:08,976] Preparing import process for data catalog: Falken
[INFO ] [57] [2021-01-28 15:25:09,019] Preparing import process for data catalog: Ronal
[INFO ] [124] [2021-01-28 16:17:09,976] Preparing import process for data catalog: Reifengundlach
[INFO ] [50] [2021-01-28 16:20:09,280] Preparing import process for data catalog: Falken
[INFO ] [124] [2021-01-28 16:25:09,307] Preparing import process for data catalog: Ronal
[INFO ] [137] [2021-01-28 17:17:10,233] Preparing import process for data catalog: Reifengundlach
[INFO ] [113] [2021-01-28 17:20:09,483] Preparing import process for data catalog: Falken
[INFO ] [141] [2021-01-28 17:25:09,554] Preparing import process for data catalog: Ronal
[INFO ] [117] [2021-01-28 18:17:10,515] Preparing import process for data catalog: Reifengundlach
[INFO ] [45] [2021-01-28 18:20:09,716] Preparing import process for data catalog: Falken
[INFO ] [92] [2021-01-28 18:25:09,786] Preparing import process for data catalog: Ronal
[INFO ] [86] [2021-01-28 19:17:10,698] Preparing import process for data catalog: Reifengundlach
[INFO ] [76] [2021-01-28 19:20:09,992] Preparing import process for data catalog: Falken
[INFO ] [90] [2021-01-28 19:25:09,955] Preparing import process for data catalog: Ronal
[INFO ] [65] [2021-01-28 20:17:10,921] Preparing import process for data catalog: Reifengundlach
[INFO ] [93] [2021-01-28 20:20:10,186] Preparing import process for data catalog: Falken
[INFO ] [108] [2021-01-28 20:25:10,174] Preparing import process for data catalog: Ronal
[INFO ] [34] [2021-01-28 21:17:11,104] Preparing import process for data catalog: Reifengundlach
[INFO ] [18] [2021-01-28 21:20:10,320] Preparing import process for data catalog: Falken
[INFO ] [92] [2021-01-28 22:17:11,436] Preparing import process for data catalog: Reifengundlach
[INFO ] [147] [2021-01-28 22:20:10,598] Preparing import process for data catalog: Falken
[INFO ] [41] [2021-01-28 23:20:10,856] Preparing import process for data catalog: Falken
[INFO ] [137] [2021-01-29 00:20:11,357] Preparing import process for data catalog: Falken
[INFO ] [86] [2021-01-29 01:20:11,301] Preparing import process for data catalog: Falken
[INFO ] [88] [2021-01-29 02:20:11,582] Preparing import process for data catalog: Falken
